iter	Passed	Remaining
0	727	726403
1	728	363751
2	730	242923
3	732	182436
4	734	146159
5	736	121958
6	737	104603
7	738	91607
8	740	81573
9	742	73491
10	744	66921
11	746	61442
12	747	56770
13	749	52751
14	750	49274
15	751	46239
16	753	43541
17	754	41139
18	755	39026
19	757	37124
20	758	35376
21	759	33784
22	761	32330
23	762	31007
24	763	29786
25	764	28652
26	765	27600
27	766	26624
28	768	25715
29	769	24881
30	771	24103
31	772	23373
32	774	22682
33	775	22023
34	776	21404
35	777	20824
36	779	20280
37	780	19764
38	782	19274
39	784	18823
40	785	18379
41	787	17956
42	788	17551
43	789	17162
44	791	16788
45	792	16428
46	793	16082
47	794	15751
48	795	15442
49	798	15162
50	799	14878
51	801	14608
52	802	14343
53	804	14088
54	805	13847
55	807	13606
56	808	13373
57	810	13162
58	812	12957
59	814	12752
60	815	12553
61	817	12363
62	819	12185
63	821	12007
64	822	11830
65	824	11673
66	826	11512
67	828	11349
68	829	11192
69	830	11040
70	832	10890
71	833	10743
72	834	10599
73	835	10459
74	838	10336
75	840	10213
76	841	10086
77	842	9959
78	843	9835
79	844	9713
80	845	9594
81	846	9479
82	847	9362
83	848	9253
84	849	9148
85	852	9058
86	853	8961
87	855	8861
88	856	8763
89	857	8667
90	858	8572
91	859	8481
92	860	8391
93	861	8304
94	862	8217
95	863	8133
96	865	8054
97	866	7978
98	868	7902
99	869	7827
100	871	7754
101	873	7690
102	874	7618
103	875	7545
104	876	7474
105	878	7407
106	880	7345
107	881	7280
108	882	7215
109	883	7151
110	885	7088
111	886	7028
112	887	6968
113	888	6907
114	889	6847
115	890	6789
116	892	6733
117	894	6684
118	895	6629
119	896	6574
120	897	6520
121	898	6466
122	899	6414
123	900	6363
124	901	6312
125	902	6262
126	903	6211
127	904	6163
128	906	6117
129	907	6075
130	909	6030
131	910	5985
132	911	5941
133	912	5899
134	914	5857
135	915	5814
136	916	5772
137	917	5730
138	918	5688
139	919	5647
140	920	5610
141	922	5572
142	923	5534
143	924	5496
144	925	5458
145	926	5420
146	927	5384
147	928	5347
148	929	5311
149	931	5276
150	932	5240
151	933	5206
152	934	5175
153	936	5145
154	937	5112
155	938	5080
156	940	5047
157	941	5015
158	942	4983
159	943	4951
160	943	4919
161	944	4888
162	946	4857
163	947	4827
164	948	4799
165	950	4773
166	951	4745
167	952	4717
168	953	4689
169	954	4661
170	955	4633
171	956	4606
172	957	4579
173	959	4552
174	960	4526
175	961	4500
176	962	4477
177	965	4456
178	966	4431
179	967	4406
180	968	4382
181	969	4357
182	970	4333
183	971	4309
184	972	4285
185	973	4261
186	974	4237
187	975	4214
188	977	4194
189	978	4173
190	980	4151
191	981	4129
192	982	4108
193	983	4086
194	985	4066
195	986	4045
196	987	4024
197	988	4003
198	989	3983
199	991	3965
200	993	3949
201	994	3929
202	995	3909
203	996	3889
204	997	3869
205	998	3849
206	999	3830
207	1000	3811
208	1002	3792
209	1003	3773
210	1004	3755
211	1006	3740
212	1007	3722
213	1008	3704
214	1009	3686
215	1010	3668
216	1011	3651
217	1012	3633
218	1013	3615
219	1014	3598
220	1015	3581
221	1016	3564
